TYPES bold target_disappears target_dis_nearer target_dis_any
AXIS dynamism planning_cost effectiveness

% --- TILEWORLD SETTINGS:
% worldSize = 20
% holeGestationTimeMin = 60
% holeGestationTimeMin = 240
% holeLifeExpMin = 240
% holeLifeExpMax = 960
% initialNrHoles = 4
% wallSizeMin = 2
% wallSizeMax = 4
% initialNrWalls = 10

% --- RESULTS:
% dynamism, planning cost, type, effectiveness

1,1,0,0.9994032395566922
1,1,1,0.9983814439559039
1,1,2,0.9967757217970298
1,1,3,0.9981432208536813
1,2,0,0.998961290477904
1,2,1,0.9984491216964709
1,2,2,0.9987055628031872
1,2,3,0.9991609943442872
1,3,0,0.9994657049355506
1,3,1,0.9980849395457412
1,3,2,0.9980462172737526
1,3,3,0.9989954737310518
1,4,0,0.9976350356770302
1,4,1,0.9986053611772607
1,4,2,0.9955083137506726
1,4,3,0.9984513524766475
1,5,0,0.9987711555113594
1,5,1,0.9968165810144051
1,5,2,0.9980631729697688
1,5,3,0.9991112828438948
2,1,0,0.9983193345933328
2,1,1,0.9997386133437888
2,1,2,0.9978293349428043
2,1,3,0.9985522134708789
2,2,0,0.9968607257427927
2,2,1,0.9958051388966799
2,2,2,0.9961268653168679
2,2,3,0.9983269115491565
2,3,0,0.9961129884773761
2,3,1,0.9943818053366742
2,3,2,0.9969182967158327
2,3,3,0.9980883537779123
2,4,0,0.9974597010324859
2,4,1,0.9938219282201867
2,4,2,0.9956503451129726
2,4,3,0.9957004778801751
2,5,0,0.9957023855720597
2,5,1,0.9955900235627654
2,5,2,0.9916298858646372
2,5,3,0.9974117384282069
2,1,0,0.9974281054044152
2,1,1,0.9975543770220131
2,1,2,0.9957893842407303
2,1,3,1.0
2,2,0,0.9990814727130566
2,2,1,0.9983368232788852
2,2,2,0.9345534995605226
2,2,3,0.9983495526268642
2,3,0,0.9978310810277218
2,3,1,0.9950431150355006
2,3,2,0.9967326537980095
2,3,3,0.9981346650682047
2,4,0,0.9973228147037891
2,4,1,0.9977226444167591
2,4,2,0.9971518439597116
2,4,3,0.998279144197102
2,5,0,0.996927588903209
2,5,1,0.9988717297792821
2,5,2,1.0
2,5,3,0.9989885012103817
2,1,0,1.0
2,1,1,0.9986339562059473
2,1,2,0.9971174502560246
2,1,3,0.9986866028935169
2,2,0,0.9975845239007302
2,2,1,0.9945964684235946
2,2,2,0.998895412046097
2,2,3,0.9958835886496541
2,3,0,0.9987950278423147
2,3,1,0.9964561918324145
2,3,2,0.9972883378907732
2,3,3,0.9974859085556934
2,4,0,0.9974040900780072
2,4,1,0.9980859787299132
2,4,2,0.9327816485151667
2,4,3,0.9969472154522732
2,5,0,0.998379290199784
2,5,1,0.9979012562292257
2,5,2,0.9954844093524529
2,5,3,0.9962594848569238
2,1,0,0.995176026887224
2,1,1,0.9979596811935575
2,1,2,0.9973341535154209
2,1,3,0.9981589956524447
2,2,0,0.9983559665961425
2,2,1,0.999049971499145
2,2,2,0.998623516640327
2,2,3,0.99710680448105
2,3,0,0.99869101569095
2,3,1,0.9976726624854233
2,3,2,0.9965080583791703
2,3,3,0.9965182449581839
2,4,0,0.9956473359242275
2,4,1,0.9966384109381642
2,4,2,0.9953172000534765
2,4,3,0.9972435873143566
2,5,0,0.9986987257075994
2,5,1,0.9985003967400788
2,5,2,0.996128671630314
2,5,3,0.9964158174672926
3,1,0,0.9961792039573173
3,1,1,0.9972030171536465
3,1,2,0.9954419503546672
3,1,3,0.9970249334647522
3,2,0,0.9962849938361406
3,2,1,0.9961383128316954
3,2,2,0.9971957254065368
3,2,3,0.9978379519879398
3,3,0,0.9986685951376868
3,3,1,0.9977016518820777
3,3,2,0.9971287449976998
3,3,3,0.9968904114870369
3,4,0,0.994854874862041
3,4,1,0.9966158038400803
3,4,2,0.9938538696207503
3,4,3,0.9929508679078705
3,5,0,0.9951415861253062
3,5,1,0.9964398792826518
3,5,2,0.9950031263911219
3,5,3,0.9926072691200802
4,1,0,0.9948307528086204
4,1,1,0.991699495885545
4,1,2,0.9962783930193128
4,1,3,0.9930918717950001
4,2,0,0.9940554969459078
4,2,1,0.9940801555467921
4,2,2,0.9965271550352259
4,2,3,0.994273355898414
4,3,0,0.9963926174930563
4,3,1,0.9958088460696071
4,3,2,0.9941426074584032
4,3,3,0.9901094701594463
4,4,0,0.9972334782940866
4,4,1,0.992720066522017
4,4,2,0.9938006520560881
4,4,3,0.9911298834467586
4,5,0,0.9902561786154578
4,5,1,0.9929138317532885
4,5,2,0.9949351088493023
4,5,3,0.9952429948931008
4,1,0,0.9967932545268176
4,1,1,0.9969562025630658
4,1,2,0.9286679939711405
4,1,3,0.997026307760263
4,2,0,0.9922491314274272
4,2,1,0.9949365685808629
4,2,2,0.9961296693349401
4,2,3,0.9949786858419931
4,3,0,0.9950732630225637
4,3,1,0.9944548842661819
4,3,2,0.9928907996124263
4,3,3,0.9881245592791881
4,4,0,0.9932161725764849
4,4,1,0.9965714436199449
4,4,2,0.9936903337180958
4,4,3,0.9926530811125771
4,5,0,0.9951190985629818
4,5,1,0.9939371409769229
4,5,2,0.9948647102374086
4,5,3,0.9898182304403578
6,1,0,0.9887175814908612
6,1,1,0.9879504732806957
6,1,2,0.9915866725346439
6,1,3,0.987069054749435
6,2,0,0.9868038904259203
6,2,1,0.9898939029453793
6,2,2,0.9871796381857848
6,2,3,0.9748025623620143
6,3,0,0.9862447013087767
6,3,1,0.9887766696031709
6,3,2,0.975754423428155
6,3,3,0.9749842182096352
6,4,0,0.982196476825152
6,4,1,0.9838354950141414
6,4,2,0.9770837924798118
6,4,3,0.9502312860194949
6,5,0,0.9834802567746486
6,5,1,0.9806626409749499
6,5,2,0.9680039825251928
6,5,3,0.9237985020447385
7,1,0,0.9825305789723809
7,1,1,0.98092718801308
7,1,2,0.9818495386320026
7,1,3,0.9677123353625645
7,2,0,0.9844073529124683
7,2,1,0.9824339513219305
7,2,2,0.9768646655990991
7,2,3,0.9620790345334416
7,3,0,0.9708377528211188
7,3,1,0.9791304060648411
7,3,2,0.9703070460080011
7,3,3,0.9339505649490849
7,4,0,0.9701055715179615
7,4,1,0.9670930467944706
7,4,2,0.9554581685382322
7,4,3,0.8927731155584253
7,5,0,0.9577748494322003
7,5,1,0.9486039977021129
7,5,2,0.9341837233062472
7,5,3,0.8327726703237237
8,1,0,0.9686853992282315
8,1,1,0.9680431431058191
8,1,2,0.9710055866314541
8,1,3,0.9549175530957899
8,2,0,0.9660278279373593
8,2,1,0.9612364115420396
8,2,2,0.9592930438869086
8,2,3,0.924301887898303
8,3,0,0.9494077546009223
8,3,1,0.9463846483910394
8,3,2,0.9287797858504937
8,3,3,0.8829997957642949
8,4,0,0.9182627183867386
8,4,1,0.9212523984574778
8,4,2,0.9168330631375133
8,4,3,0.824238961019789
8,5,0,0.8939786510946519
8,5,1,0.9039899858856867
8,5,2,0.8925456596500079
8,5,3,0.7467760919141837
11,1,0,0.8583160960406749
11,1,1,0.8758532740739581
11,1,2,0.8743680249835755
11,1,3,0.8276460338414163
11,2,0,0.8212077091585342
11,2,1,0.8244430929080323
11,2,2,0.8249488163348313
11,2,3,0.7593641734737288
11,3,0,0.7702899941032635
11,3,1,0.8157124888539393
11,3,2,0.8015246543988042
11,3,3,0.6809911547322471
11,4,0,0.7306407289033124
11,4,1,0.7670723782918589
11,4,2,0.7357636604890646
11,4,3,0.595391363861065
11,5,0,0.6966825407006664
11,5,1,0.7474273681329547
11,5,2,0.7124346352354921
11,5,3,0.4565395411838885
13,1,0,0.7555521114319805
13,1,1,0.787694509558861
13,1,2,0.8170791696988735
13,1,3,0.722136904688134
13,2,0,0.7386712017113611
13,2,1,0.7416303723247928
13,2,2,0.7664493253481126
13,2,3,0.6432609418970693
13,3,0,0.6770263729267779
13,3,1,0.7052015271678386
13,3,2,0.7105383967562134
13,3,3,0.5366181725775954
13,4,0,0.6516329637354622
13,4,1,0.6739477985474274
13,4,2,0.6588270810663623
13,4,3,0.45504423346077466
13,5,0,0.603633227436274
13,5,1,0.6303726315841509
13,5,2,0.6147514850467071
13,5,3,0.35516249443158915
16,1,0,0.6133804723006383
16,1,1,0.6813835634618244
16,1,2,0.6953873220569682
16,1,3,0.6033184124931252
16,2,0,0.6084490994999331
16,2,1,0.6373510122893324
16,2,2,0.6395648979280391
16,2,3,0.4956585732415315
16,3,0,0.5350564466206736
